catchment_id,outfall_arc,PB,RMSE,NSE,KGE,R2
GB104027069150,node_5105-to-node_5106,-199.0691535,0.41126669,-41.26985504,-2.733795786,0.001059484
GB108046005340,node_12546-to-node_12547,96.09479018,5.936026048,-41.16539613,-0.516030714,0.021616806
GB108048002320,node_8994-to-node_8992,92.32839318,4.458072949,-40.83606279,-0.529463369,0.000526054
GB108044009660,node_9491-to-node_9492,93.63553983,6.422688663,-40.76768005,-0.478921036,0.0094414
GB108050019920,node_9332-to-node_9333,93.05428831,3.250043887,-40.60564315,-0.512823188,0.000791732
GB108045014890,node_11393-to-node_11394,95.5188232,6.738716224,-40.49609785,-0.760712765,0.063997743
GB108046004910,node_13356-to-node_13357,83.76642945,4.132594148,-40.48027402,-0.573814772,0.098192765
GB108049000030,node_3679-to-node_3680,78.04914488,3.89863409,-40.46628589,-0.375688344,0.016054271
GB106039023200,node_7765-to-node_7766,93.44633877,7.303803559,-40.44452548,-0.622658541,0.011400594
GB108049000060,node_9534-to-node_9535,90.8563652,3.347795833,-40.26004515,-0.387669338,0.028843795
GB109054050170,node_14238-to-node_14239,89.63513965,8.963726538,-39.79618373,-0.394297769,0.010559459
GB106039029970,node_9126-to-node_9127,95.2317946,9.009865016,-39.33522527,-0.541164668,0.011181597
GB105033042700,node_7412-to-node_7411,98.19824772,11.63069046,-38.82804464,-0.620401388,0.003888362
GB108052015220,node_11770-to-node_11764,81.2818213,4.614329496,-38.1818362,-0.132068977,0.066176578
GB108048001280,node_6494-to-node_6495,96.1789285,6.477072539,-37.96789244,-0.542068899,0.014389403
